Column,  (Number) from top,"Year, Vintage, or NV",Name,Type
22.0,15,1994,Marquis de Las Cases Leoville - Saint Julien,B
22.0,16,1990,Leoville Poyferre - Saint Julien,B
22.0,17,1990,Leoville Poyferre - Saint Julien,B
22.0,18,1990,Leoville Poyferre - Saint Julien,B
22.0,19,1990,Baron de Pichon Longueville - Pauillac,B
22.0,20,1990,Baron de Pichon Longueville - Pauillac,B
22.0,21,1990,Baron de Pichon Longueville - Pauillac,B
22.0,22,1990,Baron de Pichon Longueville - Pauillac,B
22.0,23,1988,Baron de Pichon Longueville - Pauillac,B
22.0,24,1988,Baron de Pichon Longueville - Pauillac,B
22.0,25,1988,Baron de Pichon Longueville - Pauillac,B
,,,,
,,,,
,,Column 23,,
,,,,
,No,,,
23.0,1,,,
23.0,2,,,
23.0,3,2015,Ken Wright - Freedom Hill,Pinot Noir
23.0,4,2015,Ken Wright - Freedom Hill,Pinot Noir
23.0,5,2015,Ken Wright - Freedom Hill,Pinot Noir
23.0,6,2015,Ken Wright - Freedom Hill (signed),Pinot Noir
23.0,7,2014,Ken Wright - Latchkey,Pinot Noir
23.0,8,2014,Ken Wright - Latchkey,Pinot Noir
23.0,9,2014,Ken Wright - Latchkey,Pinot Noir
23.0,10,2014,Ken Wright - Latchkey (signed),Pinot Noir
23.0,11,2015,Ken Wright - McCrone,Pinot Noir
23.0,12,2015,Ken Wright - McCrone,Pinot Noir
23.0,13,2015,Ken Wright - McCrone,Pinot Noir
23.0,14,2015,Ken Wright - McCrone (signed),Pinot Noir
,,,,
23.0,15,1999,Angelus - Saint Emilion Grand Cru,B
23.0,16,1999,Angelus - Saint Emilion Grand Cru,B
23.0,17,1999,Angelus - Saint Emilion Grand Cru,B
23.0,18,1986,Angelus - Saint Emilion Grand Cru,B
23.0,19,2006,Angelus - Saint Emilion Premier Grand Cru,B
23.0,20,1988,Poujeaux - Moulis en Medoc,B
23.0,21,1988,Poujeaux - Moulis en Medoc,B
23.0,22,1988,Poujeaux - Moulis en Medoc,B
23.0,23,1988,Poujeaux - Moulis en Medoc,B
23.0,24,,,
23.0,25,1990,Baron de Pichon Longueville - Pauillac,B
,,,,
,,,,
,,Column 24,,
,,,,
,No,,,
24.0,1,,,
24.0,2,2010,A. Rafanelli,C
24.0,3,2010,A. Rafanelli,C
24.0,4,2010,A. Rafanelli,C
24.0,5,2010,A. Rafanelli,C
24.0,6,2010,A. Rafanelli,C
24.0,7,2010,A. Rafanelli,C
24.0,8,2010,A. Rafanelli,C
24.0,9,,,
24.0,10,,,
24.0,11,,,
24.0,12,,,
24.0,13,2010,A. Rafanelli,C
24.0,14,,,
,,,,
24.0,15,2000,Reserve de la Comtesse - Pauillac,B
